"issue_type","source_row_id","ingest_row_id","field","original_value","dirty_value"
"missing_value",51,51,"raw_col_2","2","<NA>"
"missing_value",323,323,"raw_col_2","2","<NA>"
"missing_value",155,155,"raw_col_2","1","<NA>"
"missing_value",76,76,"raw_col_2","1","<NA>"
"missing_value",230,230,"raw_col_2","1","<NA>"
"missing_value",148,148,"raw_col_2","1","<NA>"
"missing_value",124,124,"raw_col_2","2","<NA>"
"missing_value",366,366,"raw_col_2","542","<NA>"
"missing_value",130,130,"raw_col_2","2","<NA>"
"missing_value",305,305,"raw_col_2","2","<NA>"
"invalid_numeric",26,26,"raw_col_3","4","INVALID_VALUE"
"invalid_numeric",329,329,"raw_col_3","3","INVALID_VALUE"
"invalid_numeric",91,91,"raw_col_3","6","INVALID_VALUE"
"invalid_numeric",167,167,"raw_col_3","19","INVALID_VALUE"
"invalid_numeric",112,112,"raw_col_3","8","INVALID_VALUE"
"invalid_numeric",22,22,"raw_col_3","7","INVALID_VALUE"
"invalid_numeric",299,299,"raw_col_3","2","INVALID_VALUE"
"duplicate_row",354,354,"<ROW>","Original source row","Duplicate row appended"
"duplicate_row",285,285,"<ROW>","Original source row","Duplicate row appended"
"duplicate_row",111,111,"<ROW>","Original source row","Duplicate row appended"
"duplicate_row",7,7,"<ROW>","Original source row","Duplicate row appended"
"duplicate_row",214,214,"<ROW>","Original source row","Duplicate row appended"
"duplicate_row",261,261,"<ROW>","Original source row","Duplicate row appended"
"duplicate_row",316,316,"<ROW>","Original source row","Duplicate row appended"
