"raw_col_1","raw_col_2","raw_col_3","raw_col_4","raw_col_5","raw_col_6","raw_col_7","source_row_id","ingest_row_id"
"Column0","January 2026","Column2","Column3","Total","Column5","Column6",1,1
,"Order","Product Quantity","Total Price","Order","Product Quantity","Total Price",2,2
"Kea Wellness - Central","542","2395","89312.44","542","2395","89312.44",3,3
"[SKU1115] [Riverstone Bio]Joint Care Glucosamine 180s","2","3","74.54000000000001","2","3","74.54000000000001",4,4
"[SKU1330] [Piko Gifts]Fridge Magnet Set","2","2","11.55","2","2","11.55",5,5
"[SKU1225] [Lanolux]Facial Cleanser (150ml)","2","10","326.11","2","10","326.11",6,6
"[SKU1047] [Vireo Labs]Multivitamin Adult 120s","1","4","121.9","1","4","121.9",7,7
"[SKU1339] [Cocoa Bay]Milk Chocolate Block (180g)","1","10","113.1","1","10","113.1",8,8
"[SKU1271] [Southern Craft]Wool Cushion Cover (40cm)","2","2","11.28","2","2","11.28",9,9
"[SKU1290] [Kiwiana Co]Plush Kiwi Toy (25cm)","1","5","159.08","1","5","159.08",10,10
"[SKU1095] [Aroha Nutrition]Calcium + Vitamin D 60s","1","3","68.41","1","3","68.41",11,11
"[SKU1249] [Silverfern]Facial Cleanser (150ml)","1","4","40.03","1","4","40.03",12,12
"[SKU1097] [Aroha Nutrition]Probiotic Daily 30s","2","3","76.76000000000001","2","3","76.76000000000001",13,13
"[SKU1141] [Ambervale]Immune Support Milk Powder (900g){Express Freight}","2","6","260.52","2","6","260.52",14,14
"[SKU1192] [Manuka Ridge]Clover Honey (500g)","1","6","275.06","1","6","275.06",15,15
"[SKU1258] [Tui Botanicals]Lanolin Moisturising Cream (100ml)","1","12","234.38","1","12","234.38",16,16
"[SKU1074] [Puriri Health]Probiotic Daily 60s","2","12","346.97","2","12","346.97",17,17
"[SKU1205] [Hivewood]Manuka Honey UMF 10+ (250g)","1","4","399.8","1","4","399.8",18,18
"[SKU1298] [Kiwiana Co]Fridge Magnet Set","1","12","425.01","1","12","425.01",19,19
"[SKU1175] [Westbrook]Skim Milk Powder (800g){Standard Freight}","1","9","277.45","1","9","277.45",20,20
"[SKU1287] [Southern Craft]Sheepskin Slippers","2","10","99.64","2","10","99.64",21,21
"[SKU1193] [Golden Vale]Manuka Honey UMF 5+ (500g)","1","INVALID_VALUE","740.7","1","7","740.7",22,22
"[SKU1113] [Riverstone Bio]Liver Support Complex 90s","2","3","72.23","2","3","72.23",23,23
"[SKU1236] [Pounamu Skin]Lanolin Moisturising Cream (100ml)","2","9","310.21","2","9","310.21",24,24
"[SKU1218] [Lanolux]Night Repair Serum (50ml)","1","4","118.13","1","4","118.13",25,25
"[SKU1345] [Rata Confection]Dark Chocolate Block 85% (250g)","1","INVALID_VALUE","40.31","1","4","40.31",26,26
"[SKU1022] [Solwave]Magnesium Complex 60s","1","2","93.93000000000001","1","2","93.93000000000001",27,27
"[SKU1270] [Southern Craft]Wool Throw Blanket","1","7","312.74","1","7","312.74",28,28
"[SKU1183] [Manuka Ridge]Honey Gift Set (250g x4)","2","3","102.55","2","3","102.55",29,29
"[SKU1288] [Southern Craft]Wool Throw Blanket","1","1","50.08","1","1","50.08",30,30
"[SKU1067] [Baycrest]Omega 3 Fish Oil 1500mg","1","18","275.69","1","18","275.69",31,31
"[SKU1172] [Highmoor]Infant Formula Stage 1 (900g)","2","3","225.23","2","3","225.23",32,32
"[SKU1173] [Highmoor]Infant Formula Stage 2 (900g)","2","15","646.65","2","15","646.65",33,33
"[SKU1085] [Tasman Vitality]Liver Support Complex 60s","2","14","686.0700000000001","2","14","686.0700000000001",34,34
"[SKU1262] [Tui Botanicals]Propolis Toothpaste (100g)","1","6","42.48","1","6","42.48",35,35
"[SKU1038] [Northlight]Probiotic Daily 30s","1","2","37.37","1","2","37.37",36,36
"[SKU1036] [Northlight]Calcium + Vitamin D 120s","2","4","208.15","2","4","208.15",37,37
"[SKU1165] [Fernvale]Infant Formula Stage 2 (900g){Express Freight}","2","4","314.53","2","4","314.53",38,38
"[SKU1284] [Southern Craft]Plush Kiwi Toy (15cm)","1","18","389.35","1","18","389.35",39,39
"[SKU1169] [Highmoor]Skim Milk Powder (1000g){Standard Freight}","1","10","785.89","1","10","785.89",40,40
"[SKU1099] [Aroha Nutrition]Multivitamin Adult 120s","1","8","165.12","1","8","165.12",41,41
"[SKU1180] [Manuka Ridge]Manuka Honey UMF 10+ (500g)","1","13","975.8099999999999","1","13","975.8099999999999",42,42
"[SKU1222] [Lanolux]Sheep Placenta Cream (100ml)","2","4","112.79","2","4","112.79",43,43
"[SKU1200] [Golden Vale]Manuka Honey UMF 15+ (250g)","2","6","422.17","2","6","422.17",44,44
"[SKU1134] [Clearfield]Infant Formula Stage 1 (900g)","1","12","863.8200000000001","1","12","863.8200000000001",45,45
"[SKU1239] [Pounamu Skin]Hand Cream (50ml)","1","5","126.67","1","5","126.67",46,46
"[SKU1024] [Northlight]CoQ10 150mg","1","6","193.17","1","6","193.17",47,47
"[SKU1152] [Two Rivers]Skim Milk Powder (1000g){Express Freight}","1","7","345.17","1","7","345.17",48,48
"[SKU1306] [Kiwiana Co]Wool Throw Blanket","1","8","121.3","1","8","121.3",49,49
"[SKU1096] [Aroha Nutrition]Liver Support Complex 30s","1","11","362.45","1","11","362.45",50,50
"[SKU1226] [Lanolux]Hand Cream (50ml)",,"3","27.88","2","3","27.88",51,51
"[SKU1107] [Kowhai Care]Joint Care Glucosamine 90s","1","6","227.28","1","6","227.28",52,52
"[SKU1244] [Silverfern]Hand Cream (75ml)","1","9","87.76000000000001","1","9","87.76000000000001",53,53
"[DIS15] $5 off your order","4","0","-446.44","4","0","-446.44",54,54
"[SKU1304] [Kiwiana Co]Fridge Magnet Set","2","7","178.72","2","7","178.72",55,55
"[SKU1007] [Solwave]Multivitamin Adult 60s","2","12","231.68","2","12","231.68",56,56
"[SKU1013] [SOLWAVE]CoQ10 100mg","2","4","143.19","2","4","143.19",57,57
"[SKU1279] [Southern Craft]Souvenir Keyring","1","8","301.37","1","8","301.37",58,58
"[SKU1229] [Lanolux]Lanolin Moisturising Cream (100ml)","1","13","372.9","1","13","372.9",59,59
"[SKU1037] [Northlight]Liver Support Complex 30s","1","4","160.3","1","4","160.3",60,60
