local_file,s3_uri,size_bytes,sha256_b64,status,encryption
data/raw/b_12f3b639b7ab/manifest.json,s3://dsc-datathon-storage/raw/monthly_sales/b_12f3b639b7ab/manifest.json,400,4N8dZtoDO5YPtqbDxJQOgYXBgHQEcplwjvd7TbNyiZs=,SKIPPED_IDENTICAL,AES256
data/raw/b_12f3b639b7ab/source.csv,s3://dsc-datathon-storage/raw/monthly_sales/b_12f3b639b7ab/source.csv,11983,Yj7QS8BvXN/uOxHv0t+a48fO20J2C+vkACP/4OIMOxk=,UPLOADED,AES256
data/raw/b_12f3b639b7ab/source.xlsx,s3://dsc-datathon-storage/raw/monthly_sales/b_12f3b639b7ab/source.xlsx,12171,EvO2Ober2rP00/mWX8RrMUcjkGD2gO3cvUzA+T3xK4I=,UPLOADED,AES256
data/raw/b_5087cc0e3124/manifest.json,s3://dsc-datathon-storage/raw/monthly_sales/b_5087cc0e3124/manifest.json,400,OhJsW1PXMqKNw+yVaFcQIi5SfuzbRGFwTY/WZ3I+0Ns=,UPLOADED,AES256
data/raw/b_5087cc0e3124/source.csv,s3://dsc-datathon-storage/raw/monthly_sales/b_5087cc0e3124/source.csv,28234,WzrvbZGiqPUJzkvdR7LoR4JYqgYOYG6klZNQidDXFCk=,UPLOADED,AES256
data/raw/b_5087cc0e3124/source.xlsx,s3://dsc-datathon-storage/raw/monthly_sales/b_5087cc0e3124/source.xlsx,19832,UIfMDjEkZ7Tk+0terhM60zj8Xye916rFH9tbXD65w0k=,UPLOADED,AES256
data/raw/b_572f616d7757/manifest.json,s3://dsc-datathon-storage/raw/monthly_sales/b_572f616d7757/manifest.json,400,x5ugSqfkFtTsuXfvjg76lPWTw7lrsFpULWtzRCAo8to=,UPLOADED,AES256
data/raw/b_572f616d7757/source.csv,s3://dsc-datathon-storage/raw/monthly_sales/b_572f616d7757/source.csv,15402,HVQi2gqRBPlvCF9A8VUfzjNz2kT1aZZNb6LnpEu6OTo=,UPLOADED,AES256
data/raw/b_572f616d7757/source.xlsx,s3://dsc-datathon-storage/raw/monthly_sales/b_572f616d7757/source.xlsx,13798,Vy9hbXdX+cuH7FWaUFOHfzALqi//DeEWPM271ab8pWI=,UPLOADED,AES256
data/raw/b_d84b6a3ce025/manifest.json,s3://dsc-datathon-storage/raw/monthly_sales/b_d84b6a3ce025/manifest.json,400,dTzs76vXFocxrKCv9oUqKtYdlrqiRRYST3WY5H3Zi3U=,UPLOADED,AES256
data/raw/b_d84b6a3ce025/source.csv,s3://dsc-datathon-storage/raw/monthly_sales/b_d84b6a3ce025/source.csv,15882,7ZMHqCeqtrXZTgfF9FrZ2FJIb3FDFdEtRUTMCcGPmaw=,UPLOADED,AES256
data/raw/b_d84b6a3ce025/source.xlsx,s3://dsc-datathon-storage/raw/monthly_sales/b_d84b6a3ce025/source.xlsx,14005,2EtqPOAlbC4HEw7SyJBvtoVXt7cX99QAf+izxKYI+fM=,UPLOADED,AES256
data/staging/batch_id=b_12f3b639b7ab/dq_issues.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_12f3b639b7ab/dq_issues.parquet,195,CCqgsCTk5e7TCrFqWjM4gs8XtBoAhuxqG2a32Zvf1dg=,UPLOADED,AES256
data/staging/batch_id=b_12f3b639b7ab/sales_lines.parquet,s3://dsc-datathon-storage/staging/monthly_sales/batch_id=b_12f3b639b7ab/sales_lines.parquet,11313,Ja+ai0ZqZFroBBSUfuvZo+qir4vnVs71cHzo0ZDg5LU=,UPLOADED,AES256
